"","carat","cut","color","clarity","depth","table","price","x","y","z","clarity_level"
"665",2.17,"Premium","F","I1",60.7,59,9078,8.43,8.35,5.09,"low"
"666",1.12,"Premium","G","IF",60.9,57,9126,6.79,6.68,4.1,"high"
"667",0.9,"Very Good","D","IF",62.4,54,9182,6.17,6.21,3.86,"high"
"668",1,"Very Good","F","IF",63.9,56,9248,6.31,6.34,4.04,"high"
"669",1.07,"Ideal","G","IF",61.5,57,9361,6.54,6.59,4.04,"high"
"670",1.53,"Premium","J","IF",61.1,58,9424,7.41,7.45,4.54,"high"
"671",1.06,"Very Good","F","IF",60.6,56,9433,6.62,6.69,4.03,"high"
"672",1.12,"Premium","G","IF",61.2,58,9440,6.67,6.7,4.09,"high"
"673",1.01,"Good","F","IF",62.7,59,9451,6.3,6.42,3.99,"high"
"674",1.13,"Premium","G","IF",61.2,59,9525,6.71,6.78,4.13,"high"
"675",1.07,"Ideal","G","IF",61.5,57,9532,6.59,6.54,4.04,"high"
"676",1.53,"Premium","J","IF",61.1,58,9596,7.45,7.41,4.54,"high"
"677",1.12,"Premium","G","IF",61.2,58,9612,6.7,6.67,4.09,"high"
"678",1.01,"Premium","F","IF",62.3,57,9627,6.5,6.35,4,"high"
"679",1,"Good","F","IF",60.7,64,9660,6.42,6.4,3.89,"high"
"680",2.68,"Very Good","I","I1",63.5,56,9665,8.81,8.77,5.58,"low"
"681",1.45,"Very Good","I","IF",60.6,61,9683,7.32,7.41,4.46,"high"
"682",1.13,"Premium","G","IF",61.2,59,9698,6.78,6.71,4.13,"high"
"683",2.43,"Premium","G","I1",61.7,60,9716,8.54,8.49,5.25,"low"
"684",2.04,"Premium","G","I1",62.4,58,9727,8.08,8.17,5.07,"low"
"685",0.27,"Ideal","G","IF",61.2,57,627,4.17,4.2,2.56,"high"
"686",0.27,"Ideal","G","IF",62,56,627,4.14,4.17,2.58,"high"
"687",0.5,"Fair","F","I1",67.1,57,627,4.92,4.87,3.28,"low"
"688",0.5,"Fair","F","I1",68.3,58,627,4.91,4.78,3.32,"low"
"689",2.06,"Very Good","F","I1",58.7,61,9789,8.31,8.33,4.88,"low"
"690",1.12,"Very Good","G","IF",61,58,9820,6.7,6.72,4.09,"high"
"691",3.11,"Fair","J","I1",65.9,57,9823,9.15,9.02,5.98,"low"
"692",1.08,"Ideal","G","IF",62.3,56,9831,6.55,6.59,4.09,"high"
"693",1,"Good","F","IF",63.2,63,9867,6.24,6.26,3.95,"high"
"694",1.16,"Ideal","G","IF",62.3,55,9901,6.73,6.79,4.21,"high"
"695",1.16,"Ideal","G","IF",62,57,9901,6.7,6.73,4.16,"high"
"696",2.04,"Premium","G","I1",62.4,58,9905,8.17,8.08,5.07,"low"
"697",3.01,"Premium","F","I1",62.2,56,9925,9.24,9.13,5.73,"low"
"698",1.11,"Ideal","G","IF",61.9,55,9931,6.64,6.68,4.12,"high"
"699",1.01,"Very Good","F","IF",59.6,62,9965,6.47,6.56,3.88,"high"
"700",2.06,"Premium","F","I1",58.7,61,9967,8.33,8.31,4.88,"low"
"701",1.01,"Very Good","F","IF",63.5,59,9972,6.29,6.41,4.03,"high"
"702",1.2,"Very Good","G","IF",59.4,61,9987,6.92,6.95,4.12,"high"
"703",1.02,"Very Good","E","IF",61.7,60,10029,6.38,6.52,3.98,"high"
"704",1.03,"Very Good","F","IF",62.8,57,10032,6.4,6.47,4.04,"high"
"705",1,"Very Good","F","IF",63.2,63,10046,6.26,6.24,3.95,"high"
"706",1.11,"Ideal","G","IF",61.2,54,10053,6.71,6.73,4.11,"high"
"707",1.09,"Premium","G","IF",61.3,58,10065,6.64,6.6,4.06,"high"
"708",2.52,"Fair","G","I1",66.9,57,10076,8.39,8.33,5.6,"low"
"709",1.16,"Ideal","G","IF",62.3,55,10082,6.79,6.73,4.21,"high"
"710",1.16,"Ideal","G","IF",62,57,10082,6.73,6.7,4.16,"high"
"711",1.5,"Very Good","I","IF",62.9,58,10147,7.21,7.31,4.57,"high"
"712",1.61,"Premium","J","IF",62.1,58,10165,7.47,7.53,4.66,"high"
"713",1.2,"Premium","G","IF",59.4,61,10169,6.95,6.92,4.12,"high"
"714",1.13,"Ideal","G","IF",61.7,57,10228,6.65,6.7,4.12,"high"
"715",1.04,"Very Good","F","IF",63,55,10264,6.36,6.53,4.06,"high"
"716",1.14,"Ideal","G","IF",61.1,57,10313,6.7,6.76,4.11,"high"
"717",1.5,"Premium","I","IF",62.9,58,10332,7.31,7.21,4.57,"high"
"718",2.18,"Very Good","E","I1",62,60,10340,8.25,8.33,5.14,"low"
"719",1,"Very Good","F","IF",60.1,57,10346,6.45,6.52,3.9,"high"
"720",1.61,"Premium","J","IF",62.1,58,10350,7.53,7.47,4.66,"high"
"721",1.16,"Ideal","G","IF",59.9,57,10368,6.85,6.93,4.13,"high"
"722",1.52,"Ideal","I","IF",62.2,57,10419,7.27,7.33,4.54,"high"
"723",2.77,"Premium","H","I1",62.6,62,10424,8.93,8.83,5.56,"low"
"724",2.63,"Very Good","J","I1",62.3,61,10437,8.76,8.81,5.47,"low"
"725",3.05,"Premium","E","I1",60.9,58,10453,9.26,9.25,5.66,"low"
"726",1.01,"Very Good","F","IF",61.9,59,10476,6.38,6.45,3.97,"high"
"727",2,"Ideal","F","I1",60.3,56,10494,8.16,8.27,4.94,"low"
"728",1.2,"Very Good","G","IF",60.9,55,10497,6.9,6.93,4.21,"high"
"729",1.24,"Premium","G","IF",60.5,60,10508,6.95,6.91,4.19,"high"
"730",1.04,"Very Good","F","IF",59.8,56,10515,6.64,6.71,3.99,"high"
"731",3.02,"Fair","I","I1",65.2,56,10577,9.11,9.02,5.91,"low"
"732",1.24,"Premium","G","IF",60.5,58,10584,6.94,7,4.22,"high"
"733",1.52,"Ideal","I","IF",62.2,57,10609,7.33,7.27,4.54,"high"
"734",1.03,"Ideal","F","IF",63.1,55,10615,6.45,6.46,4.07,"high"
"735",2.63,"Premium","J","I1",62.3,61,10628,8.81,8.76,5.47,"low"
"736",1.09,"Very Good","F","IF",61.1,58,10663,6.63,6.69,4.07,"high"
"737",2,"Ideal","F","I1",60.3,56,10685,8.27,8.16,4.94,"low"
"738",1.01,"Ideal","F","IF",62,58,10688,6.41,6.46,3.99,"high"
"739",1.02,"Very Good","E","IF",63.5,58,10710,6.43,6.33,4.05,"high"
"740",3.01,"Fair","H","I1",56.1,62,10761,9.54,9.38,5.31,"low"
"741",1.04,"Ideal","F","IF",61.8,55,10787,6.49,6.56,4.03,"high"
"742",1.01,"Very Good","F","IF",59.2,60,10800,6.48,6.59,3.87,"high"
"743",3,"Good","I","I1",57,64,10863,9.38,9.31,5.33,"low"
"744",1,"Very Good","E","IF",63.1,56,10954,6.32,6.39,4.01,"high"
"745",1.02,"Very Good","F","IF",62.5,58,10967,6.39,6.54,4.04,"high"
"746",1.4,"Ideal","H","IF",60.9,57,10976,7.22,7.29,4.42,"high"
"747",1.04,"Ideal","F","IF",61.8,55,10984,6.56,6.49,4.03,"high"
"748",1.06,"Ideal","F","IF",61,57,10995,6.55,6.64,4.02,"high"
"749",1.07,"Very Good","F","IF",59.4,59,11019,6.64,6.7,3.96,"high"
"750",1.05,"Premium","E","IF",59.8,59,11025,6.65,6.62,3.97,"high"
"751",0.4,"Ideal","F","I1",63.3,60,630,4.68,4.64,2.95,"low"
"752",1.22,"Premium","G","IF",59.2,58,11104,7.02,6.97,4.14,"high"
"753",1.34,"Ideal","H","IF",60.9,57,11109,7.09,7.19,4.35,"high"
"754",1.22,"Ideal","G","IF",61.7,56,11111,6.87,6.91,4.25,"high"
"755",1.02,"Ideal","F","IF",62,58,11116,6.44,6.49,4.01,"high"
"756",2.34,"Very Good","H","I1",62.4,55.4,11119,8.44,8.51,5.29,"low"
"757",1.27,"Ideal","G","IF",61.5,58,11157,6.95,6.99,4.29,"high"
"758",1.02,"Premium","F","IF",62.5,58,11167,6.54,6.39,4.04,"high"
"759",1.06,"Ideal","F","IF",61,57,11195,6.64,6.55,4.02,"high"
"760",1,"Very Good","E","IF",62.5,55,11214,6.28,6.39,3.96,"high"
"761",2.34,"Ideal","H","I1",62.4,55,11221,8.51,8.44,5.29,"low"
"762",1.1,"Ideal","F","IF",62,57,11233,6.65,6.57,4.1,"high"
"763",1.04,"Very Good","E","IF",63.6,58,11269,6.41,6.43,4.08,"high"
"764",1.03,"Ideal","F","IF",61.3,56,11365,6.53,6.55,4.01,"high"
"765",1.28,"Ideal","G","IF",60.8,57,11372,7.02,7.05,4.28,"high"
"766",1.24,"Ideal","G","IF",62.4,56,11376,6.86,6.89,4.29,"high"
"767",1.01,"Premium","E","IF",62.6,58,11387,6.37,6.44,4.01,"high"
"768",0.3,"Good","I","IF",63.3,57,631,4.23,4.3,2.7,"high"
"769",0.3,"Good","I","IF",63.3,56,631,4.21,4.26,2.68,"high"
"770",1.28,"Ideal","G","IF",62,55.6,11401,6.94,6.96,4.31,"high"
"771",1.05,"Very Good","F","IF",59.7,55,11417,6.66,6.73,4,"high"
"772",1.02,"Very Good","E","IF",58.1,59,11420,6.71,6.75,3.91,"high"
"773",1.07,"Ideal","F","IF",62,57,11434,6.52,6.57,4.06,"high"
"774",1.07,"Very Good","E","IF",58.6,63,11475,6.7,6.79,3.95,"high"
"775",1.01,"Premium","E","IF",62.6,58,11491,6.44,6.37,4.01,"high"
"776",1.02,"Ideal","E","IF",62.6,57,11500,6.41,6.47,4.03,"high"
"777",1.25,"Ideal","G","IF",60.2,54,11511,6.99,7.03,4.22,"high"
"778",1.06,"Very Good","E","IF",62.7,58,11518,6.48,6.54,4.08,"high"
"779",3,"Good","E","I1",64.2,65,11548,9.08,8.96,5.79,"low"
"780",2.72,"Ideal","H","I1",59.6,55,11594,9.17,9.13,5.45,"low"
"781",1.02,"Ideal","E","IF",62.6,57,11605,6.47,6.41,4.03,"high"
"782",1.09,"Very Good","F","IF",61.4,56,11631,6.62,6.68,4.08,"high"
"783",3.65,"Fair","H","I1",67.1,53,11668,9.53,9.48,6.38,"low"
"784",1.25,"Ideal","G","IF",60.6,57,11705,6.97,6.99,4.23,"high"
"785",0.3,"Premium","I","IF",60.5,59,631,4.32,4.34,2.62,"high"
"786",0.25,"Very Good","F","IF",61.1,54,633,4.08,4.11,2.5,"high"
"787",0.25,"Very Good","E","IF",61.3,56,633,4.1,4.13,2.53,"high"
"788",1.05,"Premium","E","IF",59,58,11838,6.66,6.7,3.94,"high"
"789",1.09,"Ideal","F","IF",61.4,55,11846,6.61,6.68,4.09,"high"
"790",1.09,"Ideal","F","IF",61.6,55,11888,6.59,6.65,4.08,"high"
"791",1.05,"Premium","E","IF",59,58,11946,6.7,6.66,3.94,"high"
"792",1.02,"Ideal","E","IF",62.2,56,12030,6.44,6.38,3.99,"high"
"793",1.54,"Premium","H","IF",62.5,58,12196,7.33,7.38,4.6,"high"
"794",0.29,"Good","F","IF",56.8,65,633,4.37,4.4,2.49,"high"
"795",0.31,"Ideal","I","IF",60.9,57,635,4.39,4.44,2.69,"high"
"796",0.31,"Ideal","I","IF",61.7,55,635,4.36,4.39,2.7,"high"
"797",0.31,"Ideal","I","IF",60.9,57,635,4.37,4.4,2.67,"high"
"798",0.31,"Ideal","I","IF",62,54,635,4.38,4.4,2.72,"high"
"799",0.31,"Ideal","I","IF",62,54,635,4.36,4.42,2.72,"high"
"800",1.51,"Very Good","I","IF",62.1,59,12291,7.25,7.31,4.52,"high"
"801",1.51,"Very Good","I","IF",62.2,62,12291,7.3,7.33,4.55,"high"
"802",3.24,"Premium","H","I1",62.1,58,12300,9.44,9.4,5.85,"low"
"803",1.54,"Premium","H","IF",62.5,58,12308,7.38,7.33,4.6,"high"
"804",1.51,"Ideal","H","IF",62.7,56,12437,7.26,7.38,4.59,"high"
"805",1.14,"Ideal","G","IF",59,59,12458,6.81,6.91,4.05,"high"
"806",1.3,"Ideal","G","IF",62.3,56,12467,6.95,6.99,4.34,"high"
"807",1.06,"Ideal","F","IF",61.9,55,12539,6.54,6.57,4.06,"high"
"808",1.13,"Premium","F","IF",60,58,12543,6.78,6.76,4.06,"high"
"809",3.22,"Ideal","I","I1",62.6,55,12545,9.49,9.42,5.92,"low"
"810",1.13,"Premium","F","IF",59.8,60,12549,6.82,6.76,4.06,"high"
"811",1.01,"Very Good","D","IF",63.3,55,12581,6.36,6.28,4,"high"
"812",3.5,"Ideal","H","I1",62.8,57,12587,9.65,9.59,6.03,"low"
"813",0.38,"Ideal","F","I1",62.5,57,638,4.64,4.61,2.89,"low"
"814",1.06,"Very Good","E","IF",62.4,55,12642,6.5,6.54,4.07,"high"
"815",1.14,"Very Good","E","IF",63.3,57,12647,6.63,6.71,4.22,"high"
"816",1.13,"Premium","F","IF",59.8,60,12722,6.82,6.76,4.06,"high"
"817",1.5,"Ideal","I","IF",61.3,56,12725,7.34,7.41,4.52,"high"
"818",1.01,"Ideal","E","IF",61.4,57,12865,6.53,6.46,3.99,"high"
"819",1.15,"Very Good","E","IF",59.2,57,12895,6.78,6.86,4.04,"high"
"820",1.2,"Very Good","F","IF",62.3,60,12905,6.74,6.8,4.22,"high"
"821",1.3,"Ideal","G","IF",61.3,56,12932,7.03,7.06,4.32,"high"
"822",1.39,"Ideal","G","IF",60.6,55,12943,7.21,7.27,4.39,"high"
"823",1.5,"Very Good","H","IF",63,59,12988,7.23,7.3,4.58,"high"
"824",1.05,"Ideal","F","IF",61.7,56,13060,6.48,6.56,4.02,"high"
"825",1.03,"Ideal","F","IF",62.3,57,13060,6.44,6.49,4.03,"high"
"826",1.39,"Ideal","G","IF",60.6,55,13061,7.27,7.21,4.39,"high"
"827",1.51,"Premium","H","IF",60.2,60,13075,7.41,7.44,4.47,"high"
"828",1.5,"Premium","H","IF",63,59,13107,7.3,7.23,4.58,"high"
"829",2.75,"Ideal","D","I1",60.9,57,13156,9.04,8.98,5.49,"low"
"830",1.24,"Ideal","G","IF",62,55,13178,6.93,6.89,4.29,"high"
"831",1.51,"Premium","H","IF",60.2,60,13194,7.44,7.41,4.47,"high"
"832",3,"Premium","G","I1",59.7,60,13203,9.42,9.26,5.58,"low"
"833",1.53,"Good","H","IF",63.1,57,13248,7.25,7.34,4.6,"high"
"834",1.06,"Ideal","E","IF",62,57,13344,6.49,6.54,4.04,"high"
"835",1.28,"Ideal","G","IF",61.7,56,13360,6.95,6.99,4.3,"high"
"836",1.53,"Very Good","H","IF",63.1,57,13369,7.34,7.25,4.6,"high"
"837",1.55,"Ideal","H","IF",61.4,57,13421,7.42,7.47,4.57,"high"
"838",1.37,"Ideal","G","IF",62.3,54,13439,7.11,7.15,4.43,"high"
"839",1.55,"Ideal","H","IF",61.4,57,13544,7.47,7.42,4.57,"high"
"840",1.26,"Ideal","F","IF",62.6,57,13671,6.94,6.84,4.31,"high"
"841",1.25,"Very Good","F","IF",60.3,58,13953,6.96,7.03,4.22,"high"
"842",1.5,"Good","G","IF",59.9,59,13998,7.39,7.46,4.45,"high"
"843",1.26,"Very Good","F","IF",60,60,14095,7.04,7.09,4.24,"high"
"844",1.2,"Ideal","F","IF",61.6,57,14300,6.84,6.79,4.2,"high"
"845",1.2,"Ideal","F","IF",61.6,57,14430,6.84,6.79,4.2,"high"
"846",1.04,"Ideal","D","IF",61.8,57,14494,6.49,6.52,4.02,"high"
"847",1.35,"Ideal","G","IF",62.2,57,14616,7.07,7.11,4.41,"high"
"848",1.04,"Ideal","D","IF",61.8,57,14626,6.52,6.49,4.02,"high"
"849",1.51,"Good","G","IF",62.8,60,14654,7.18,7.24,4.53,"high"
"850",1.66,"Ideal","H","IF",61.5,57,14724,7.59,7.62,4.68,"high"
"851",1.32,"Very Good","F","IF",62.4,58,14842,6.97,7.01,4.36,"high"
"852",1.18,"Ideal","E","IF",61.1,56,14847,6.78,6.91,4.18,"high"
"853",1.66,"Ideal","H","IF",61.5,57,14859,7.62,7.59,4.68,"high"
"854",1.01,"Good","D","IF",63.2,59,15081,6.34,6.38,4.02,"high"
"855",1.01,"Good","D","IF",63.4,59,15081,6.26,6.39,4.01,"high"
"856",1.48,"Good","G","IF",59.8,61,15164,7.54,7.34,4.45,"high"
"857",1.09,"Ideal","E","IF",60.1,58,15193,6.68,6.72,4.03,"high"
"858",1.01,"Very Good","D","IF",63.4,59,15219,6.39,6.26,4.01,"high"
"859",4.01,"Premium","I","I1",61,61,15223,10.14,10.1,6.17,"low"
"860",4.01,"Premium","J","I1",62.5,62,15223,10.02,9.94,6.24,"low"
"861",1.02,"Premium","D","IF",61.5,60,15231,6.45,6.52,3.99,"high"
"862",1.02,"Very Good","D","IF",62.7,57,15306,6.36,6.46,4.02,"high"
"863",1.02,"Premium","D","IF",61.5,60,15370,6.52,6.45,3.99,"high"
"864",1.27,"Ideal","F","IF",61.3,55,15377,6.98,7.02,4.29,"high"
"865",1.54,"Very Good","G","IF",59.4,60,15444,7.55,7.61,4.5,"high"
"866",1.11,"Ideal","E","IF",61.8,55,15464,6.65,6.69,4.12,"high"
"867",1.21,"Ideal","F","IF",62.8,56,15497,6.75,6.84,4.27,"high"
"868",1.02,"Ideal","D","IF",63,57,15575,6.39,6.35,4.01,"high"
"869",1.04,"Premium","D","IF",60.6,56,15671,6.6,6.54,3.98,"high"
"870",1.28,"Premium","E","IF",59.8,59,15806,7.1,7.07,4.24,"high"
"871",1.06,"Ideal","D","IF",61.2,57,15813,6.57,6.61,4.03,"high"
"872",1.3,"Ideal","E","IF",62.3,54,15874,6.97,7.03,4.36,"high"
"873",1,"Good","D","IF",63.3,59,15928,6.33,6.37,4.02,"high"
"874",3.4,"Fair","D","I1",66.8,52,15964,9.42,9.34,6.27,"low"
"875",4,"Very Good","I","I1",63.3,58,15984,10.01,9.94,6.31,"low"
"876",1,"Very Good","D","IF",63.3,59,16073,6.37,6.33,4.02,"high"
"877",1.01,"Very Good","D","IF",61.6,56,16087,6.43,6.46,3.97,"high"
"878",3.67,"Premium","I","I1",62.4,56,16193,9.86,9.81,6.13,"low"
"879",1.01,"Premium","D","IF",61.6,56,16234,6.46,6.43,3.97,"high"
"880",1.6,"Ideal","H","IF",61.5,53,16300,7.57,7.69,4.66,"high"
"881",1.09,"Good","D","IF",58.7,61,16406,6.75,6.85,3.99,"high"
"882",1,"Ideal","D","IF",60.7,57,16469,6.44,6.48,3.92,"high"
"883",3.01,"Ideal","J","I1",65.4,60,16538,8.99,8.93,5.86,"low"
"884",1.6,"Ideal","G","IF",59.8,54,16547,7.75,7.63,4.6,"high"
"885",1.25,"Ideal","E","IF",61.8,55,16823,6.95,6.9,4.28,"high"
"886",1.07,"Ideal","D","IF",60.9,54,17042,6.66,6.73,4.08,"high"
"887",1.02,"Very Good","D","IF",61.7,59,17100,6.42,6.52,3.99,"high"
"888",0.41,"Good","F","I1",63.8,57,646,4.72,4.69,3,"low"
"889",2.04,"Ideal","J","IF",61.5,58,17327,8.11,8.14,5,"high"
"890",4.13,"Fair","H","I1",64.8,61,17329,10,9.85,6.43,"low"
"891",1.58,"Ideal","G","IF",62.2,57,17329,7.45,7.51,4.65,"high"
"892",1.21,"Ideal","E","IF",61.8,56,17353,6.81,6.88,4.23,"high"
"893",1.14,"Good","D","IF",61.7,63,17499,6.64,6.74,4.13,"high"
"894",1.65,"Ideal","G","IF",62.4,55,17569,7.53,7.61,4.72,"high"
"895",1.03,"Ideal","D","IF",62,56,17590,6.55,6.44,4.03,"high"
"896",1.38,"Very Good","F","IF",58.2,60,17598,7.32,7.39,4.28,"high"
"897",1.34,"Premium","E","IF",61.8,58,17663,7.15,7.08,4.4,"high"
"898",1.65,"Ideal","G","IF",62.4,55,17729,7.61,7.53,4.72,"high"
"899",1.07,"Very Good","D","IF",59,59,17909,6.63,6.72,3.94,"high"
"900",0.28,"Ideal","F","IF",62.4,55,646,4.17,4.2,2.61,"high"
"901",2.08,"Ideal","J","IF",61,55,17986,8.32,8.25,5.05,"high"
"902",5.01,"Fair","J","I1",65.5,59,18018,10.74,10.54,6.98,"low"
"903",1.51,"Premium","F","IF",60.5,61,18102,7.5,7.4,4.45,"high"
"904",1.14,"Very Good","D","IF",59.1,58,18112,6.83,6.9,4.06,"high"
"905",1.07,"Very Good","D","IF",60.9,58,18114,6.57,6.67,4.03,"high"
"906",1.09,"Very Good","D","IF",61.7,58,18231,6.55,6.65,4.07,"high"
"907",1.07,"Premium","D","IF",60.9,58,18279,6.67,6.57,4.03,"high"
"908",2.29,"Premium","J","IF",61.4,60,18426,8.45,8.49,5.2,"high"
"909",1.33,"Ideal","F","IF",60.2,57,18435,7.12,7.17,4.3,"high"
"910",4.5,"Fair","J","I1",65.8,58,18531,10.23,10.16,6.72,"low"
"911",1.04,"Very Good","D","IF",61.3,56,18542,6.53,6.55,4.01,"high"
"912",1.5,"Very Good","F","IF",63.2,58,18552,7.2,7.32,4.59,"high"
"913",2.29,"Premium","J","IF",61.4,60,18594,8.49,8.45,5.2,"high"
"914",1.28,"Ideal","E","IF",60.7,57,18700,7.09,6.99,4.27,"high"
"915",0.26,"Ideal","G","IF",61.7,54,648,4.15,4.18,2.57,"high"
"916",0.26,"Ideal","G","IF",60.8,56,648,4.11,4.15,2.51,"high"
"917",1.51,"Ideal","G","IF",61.7,55,18806,7.37,7.41,4.56,"high"
"918",0.28,"Ideal","G","IF",61.3,57,650,4.25,4.27,2.6,"high"
"919",0.28,"Ideal","G","IF",61.5,57,650,4.19,4.21,2.58,"high"
"920",0.28,"Ideal","G","IF",62.4,55,650,4.17,4.2,2.61,"high"
"921",0.28,"Ideal","G","IF",60.9,57,650,4.24,4.27,2.59,"high"
"922",0.41,"Very Good","J","IF",60.8,56,651,4.83,4.87,2.95,"high"
"923",0.31,"Ideal","I","IF",61.3,57,652,4.34,4.4,2.68,"high"
"924",0.31,"Ideal","I","IF",62.2,54,652,4.36,4.39,2.72,"high"
"925",0.32,"Ideal","I","IF",62.1,54,655,4.39,4.43,2.74,"high"
"926",0.32,"Ideal","I","IF",61.6,56,655,4.4,4.43,2.72,"high"
"927",0.32,"Ideal","I","IF",61.4,57,655,4.39,4.44,2.71,"high"
"928",0.32,"Ideal","I","IF",61.7,55,655,4.4,4.42,2.72,"high"
"929",0.39,"Ideal","E","I1",62.8,57,655,4.66,4.61,2.91,"low"
"930",0.26,"Ideal","F","IF",61.6,56,657,4.07,4.11,2.52,"high"
"931",0.32,"Good","D","I1",64,54,361,4.33,4.36,2.78,"low"
"932",0.34,"Ideal","I","IF",62.2,53.5,668,4.5,4.52,2.8,"high"
"933",0.27,"Ideal","G","IF",61,56,672,4.17,4.19,2.55,"high"
"934",0.29,"Ideal","G","IF",60.6,57,673,4.28,4.31,2.6,"high"
"935",0.29,"Ideal","G","IF",61.3,55,673,4.25,4.28,2.61,"high"
"936",0.29,"Ideal","G","IF",62,56,673,4.23,4.27,2.63,"high"
"937",0.32,"Premium","I","IF",60.3,58,673,4.41,4.45,2.67,"high"
"938",0.32,"Ideal","I","IF",60.8,54,673,4.44,4.47,2.71,"high"
"939",0.32,"Ideal","I","IF",62.2,57,673,4.35,4.37,2.71,"high"
"940",0.32,"Very Good","I","IF",61.9,59,673,4.37,4.39,2.71,"high"
"941",0.33,"Ideal","I","IF",62,54,675,4.46,4.48,2.77,"high"
"942",0.33,"Ideal","I","IF",61.7,55,675,4.45,4.49,2.76,"high"
"943",0.33,"Ideal","I","IF",61.1,56,675,4.45,4.49,2.73,"high"
"944",0.24,"Ideal","F","IF",62.9,55,678,3.96,3.98,2.5,"high"
"945",0.24,"Ideal","F","IF",61.6,57,678,3.97,4,2.45,"high"
"946",0.24,"Ideal","F","IF",61,57,678,4.04,4.07,2.47,"high"
"947",0.24,"Ideal","F","IF",60.7,57,678,3.99,4.04,2.43,"high"
"948",0.32,"Premium","J","IF",61.2,59,684,4.44,4.41,2.71,"high"
"949",0.32,"Ideal","J","IF",62.2,55,684,4.44,4.4,2.75,"high"
"950",0.32,"Ideal","J","IF",62.2,56,684,4.41,4.37,2.73,"high"
"951",0.28,"Very Good","E","IF",59.6,55,688,4.24,4.31,2.55,"high"
"952",0.3,"Very Good","H","IF",62.3,56,691,4.3,4.33,2.68,"high"
"953",0.33,"Premium","I","IF",62.1,58,694,4.39,4.43,2.74,"high"
"954",0.33,"Ideal","I","IF",62.1,55,694,4.41,4.44,2.75,"high"
"955",0.33,"Very Good","I","IF",59,61,694,4.49,4.56,2.67,"high"
"956",0.33,"Ideal","I","IF",61.6,55,694,4.46,4.47,2.75,"high"
"957",0.33,"Ideal","I","IF",61.4,56,694,4.41,4.45,2.72,"high"
"958",0.33,"Very Good","I","IF",62,58,694,4.44,4.46,2.76,"high"
"959",0.33,"Ideal","I","IF",61.8,55,694,4.46,4.47,2.76,"high"
"960",0.33,"Ideal","I","IF",62.2,56,694,4.42,4.45,2.76,"high"
"961",0.34,"Ideal","I","IF",61.6,54,695,4.5,4.53,2.78,"high"
"962",0.34,"Ideal","I","IF",61.9,55,695,4.5,4.52,2.79,"high"
"963",0.34,"Ideal","I","IF",61.3,55,695,4.52,4.55,2.78,"high"
"964",0.34,"Ideal","I","IF",62.1,54,695,4.49,4.53,2.8,"high"
"965",0.5,"Fair","G","I1",64.6,60,701,5.04,4.96,3.23,"low"
"966",0.43,"Premium","E","I1",58.4,62,713,5,4.94,2.9,"low"
"967",0.5,"Fair","F","I1",63.8,58,713,5.08,4.97,3.21,"low"
"968",0.32,"Premium","E","I1",60.9,58,444,4.42,4.38,2.68,"low"
"969",0.35,"Ideal","I","IF",61.8,55,715,4.55,4.57,2.82,"high"
"970",0.35,"Ideal","I","IF",61.1,56,715,4.56,4.6,2.8,"high"
"971",0.35,"Ideal","I","IF",61.5,55,715,4.53,4.57,2.8,"high"
"972",0.33,"Ideal","I","IF",61.5,56,719,4.43,4.47,2.74,"high"
"973",0.5,"Very Good","E","I1",63.1,61,720,5.04,4.97,3.16,"low"
"974",0.29,"Ideal","G","IF",61.3,56,721,4.26,4.29,2.62,"high"
"975",0.5,"Fair","G","I1",64.9,57,727,5.01,4.97,3.24,"low"
"976",0.5,"Fair","G","I1",65.2,56,727,4.95,4.89,3.21,"low"
"977",0.26,"Ideal","F","IF",62,56,733,4.07,4.1,2.53,"high"
"978",0.36,"Ideal","I","IF",61.8,55,735,4.58,4.61,2.84,"high"
"979",0.36,"Ideal","I","IF",62,55,735,4.59,4.61,2.85,"high"
"980",0.36,"Ideal","I","IF",61.9,54,735,4.57,4.6,2.84,"high"
"981",0.35,"Ideal","I","IF",62.5,55,737,4.52,4.54,2.83,"high"
"982",0.25,"Ideal","F","IF",62.3,54,739,4.06,4.09,2.54,"high"
"983",0.31,"Premium","H","IF",60.8,59,739,4.36,4.39,2.66,"high"
"984",0.25,"Premium","F","IF",61.1,58,740,4.1,4.08,2.5,"high"
"985",0.3,"Good","F","IF",60,63,742,4.3,4.36,2.6,"high"
"986",0.3,"Very Good","G","IF",60.5,58,743,4.35,4.38,2.64,"high"
"987",0.24,"Very Good","H","IF",61.3,56,449,4.04,4.06,2.48,"high"
"988",0.29,"Ideal","F","IF",61.9,56,748,4.27,4.3,2.65,"high"
"989",0.37,"Ideal","I","IF",60.7,56,754,4.64,4.68,2.83,"high"
"990",0.37,"Ideal","I","IF",61.4,55,754,4.65,4.67,2.86,"high"
"991",0.4,"Ideal","J","IF",62.5,56,758,4.7,4.74,2.95,"high"
"992",0.36,"Premium","I","IF",59.9,59,758,4.58,4.63,2.76,"high"
"993",0.27,"Very Good","E","IF",59.7,56,760,4.26,4.28,2.55,"high"
"994",0.27,"Ideal","F","IF",61.3,57,760,4.16,4.2,2.56,"high"
"995",0.27,"Ideal","F","IF",61.8,55,760,4.14,4.21,2.57,"high"
"996",0.27,"Ideal","F","IF",61.4,57,760,4.17,4.19,2.57,"high"
